1,"Novica o novi ponudbi","V LETOŠNJI SEZONI NIŽJE CENE","Neomejni obisk za vse vodabe že od 40€ dalje","V LETOŠNJI SEZONI NIŽJE CENE!!!
ZA PODJETJA IN KLUBE TER NJIHOVE ČLANE ŽE OD 30.00€ DALJE
IN
NEOMEJEN OBISK ZA VSE VODENE VADBE
ŽE OD 40.00€ DALJE",9,1,1
2,"Novica o zumbi","ZUMBA","Get movin'","Zumba ..............",10,0,1
