1,1,1,"08:00:00","13:00:00","Fitnes"
2,1,1,"16:00:00","22:30:00","Fitnes"
3,1,3,"08:00:00","13:00:00","Fitnes"
4,1,5,"08:00:00","13:00:00","Fitnes"
5,1,2,"16:00:00","22:30:00","Fitnes"
6,1,3,"16:00:00","22:30:00","Fitnes"
7,1,4,"16:00:00","22:30:00","Fitnes"
8,1,5,"16:00:00","22:30:00","Fitnes"
10,1,7,"18:00:00","22:00:00","Fitnes"
11,2,1,"19:20:00","20:15:00","Pace"
12,2,2,"19:00:00","19:55:00","Pace"
13,2,3,"19:20:00","20:15:00","Pace"
14,2,4,"20:00:00","21:00:00"," "
