1,"V LETOŠNJI SEZONI NIŽJE CENE","Neomejni obisk za vse vodabe že od 40€ dalje",4,1
2,"Z 11.5.2014 vam ponujamo novo vadbo ZUMBA","Prvih 10 prijav dobi eksluzivni 20% popust na 3 mesečno karto",6,2
